Airline,Source,Destination,Additional_Info,Price,Date,Month,Year,Stop,Arrival_Hour,Arrival_Minute,Departure_Hour,Departure_Minute,Route_1,Route_2,Route_3,Route_4,Route_5,Price Predicted
4,3,0,5,9087.064120565385,9,5,2019,1,10,5,20,0,2,7,3,12,4,8779.797937602625
4,0,5,5,9087.064120565385,18,3,2019,1,9,0,21,25,0,7,8,12,4,11222.887994949495
4,2,1,5,9087.064120565385,9,5,2019,2,19,0,5,30,3,28,4,5,4,13047.9
1,0,2,8,9087.064120565385,6,4,2019,0,23,55,21,5,0,13,24,12,4,5257.210914502162
4,2,1,5,9087.064120565385,21,3,2019,1,4,25,16,0,3,7,6,12,4,7007.72888070263
3,3,0,8,9087.064120565385,15,5,2019,0,17,45,15,15,2,5,24,12,4,4810.07486453202
4,2,1,8,9087.064120565385,21,5,2019,1,19,0,17,30,3,7,6,12,4,16076.889
4,2,1,5,9087.064120565385,6,6,2019,1,4,25,9,0,3,7,6,12,4,10305.774728260869
6,2,1,8,9087.064120565385,1,6,2019,1,21,0,14,0,3,7,6,12,4,13280.10855642968
0,3,0,8,9087.064120565385,3,3,2019,0,1,20,22,50,2,5,24,12,4,5178.213432539683
6,2,1,8,9087.064120565385,27,3,2019,1,1,35,13,55,3,7,6,12,4,8639.898015873016
4,2,1,8,9087.064120565385,15,6,2019,2,12,35,5,30,3,4,4,5,4,14436.507440476189
4,0,2,8,9087.064120565385,12,6,2019,0,22,50,19,50,0,13,24,12,4,8026.3875
4,4,3,5,9087.064120565385,15,3,2019,0,8,35,7,10,1,19,24,12,4,3445.6939594155847
8,0,2,7,9087.064120565385,15,6,2019,0,8,35,5,55,0,13,24,12,4,3876.562255772007
4,4,3,8,9087.064120565385,18,3,2019,0,8,35,7,10,1,19,24,12,4,7736.37626785714
4,0,5,8,9087.064120565385,6,3,2019,1,23,0,16,55,0,7,8,12,4,17850.35345238095
4,3,0,5,9087.064120565385,9,5,2019,1,12,0,18,55,2,7,3,12,4,9812.53736743668
6,2,1,8,9087.064120565385,15,5,2019,1,21,0,10,20,3,7,6,12,4,7499.880646284271
8,3,0,8,9087.064120565385,12,5,2019,0,19,40,17,10,2,5,24,12,4,3977.1381004689742
6,2,1,8,9087.064120565385,15,5,2019,1,1,30,13,0,3,7,6,12,4,10647.658035667855
8,4,3,8,9087.064120565385,9,6,2019,0,0,15,22,45,1,19,24,12,4,2055.5944166666663
1,2,1,8,9087.064120565385,15,6,2019,1,7,40,8,0,3,7,6,12,4,8639.643722943723
3,3,0,8,9087.064120565385,1,5,2019,1,2,15,21,0,2,38,3,12,4,6797.32496626984
8,1,4,7,9087.064120565385,24,3,2019,0,20,5,17,45,4,8,24,12,4,3823.9887581168837
4,2,1,8,9087.064120565385,3,3,2019,1,18,50,19,15,3,7,6,12,4,17297.706271825395
1,4,3,8,9087.064120565385,3,5,2019,0,15,25,13,55,1,19,24,12,4,3361.5967281746034
4,3,0,8,9087.064120565385,1,4,2019,1,22,35,18,55,2,7,3,12,4,12724.522309523809
6,2,1,8,9087.064120565385,3,6,2019,1,21,0,7,30,3,7,6,12,4,8657.251493506496
1,3,0,8,9087.064120565385,12,5,2019,2,13,45,9,25,2,7,7,3,4,12421.287130341883
4,3,0,5,9087.064120565385,1,4,2019,1,19,50,14,5,2,7,3,12,4,7174.652380952384
4,3,0,8,9087.064120565385,24,3,2019,1,16,20,13,55,2,7,3,12,4,14233.278
4,0,5,8,9087.064120565385,18,3,2019,1,11,25,5,45,0,7,8,12,4,12302.610253787876
8,1,4,8,9087.064120565385,18,6,2019,0,12,0,9,45,4,8,24,12,4,3603.9518650793657
4,0,2,8,9087.064120565385,15,4,2019,0,18,10,15,15,0,13,24,12,4,7229.0
3,2,1,8,9087.064120565385,18,5,2019,1,7,45,2,0,3,6,6,12,4,6625.29996855922
4,0,5,5,9087.064120565385,21,3,2019,1,19,10,11,40,0,7,8,12,4,7860.161660777564
3,2,1,8,9087.064120565385,9,6,2019,1,12,10,6,50,3,20,6,12,4,5308.1426666666675
10,3,0,8,9087.064120565385,6,5,2019,1,18,50,17,0,2,14,3,12,4,8758.670928030306
6,2,1,8,9087.064120565385,12,6,2019,1,19,15,6,0,3,7,6,12,4,9856.068353625542
1,2,1,8,9087.064120565385,9,3,2019,2,9,25,7,5,3,20,22,5,4,10343.078825396826
3,2,1,8,9087.064120565385,3,4,2019,1,7,45,2,0,3,6,6,12,4,5365.061821428573
0,2,1,8,9087.064120565385,27,6,2019,1,22,25,16,45,3,6,6,12,4,6921.751672619048
11,0,5,8,9087.064120565385,24,3,2019,0,22,20,19,40,0,13,24,12,4,5347.6246124847385
3,0,2,8,9087.064120565385,9,5,2019,0,15,50,13,0,0,13,24,12,4,4359.446416666666
3,2,1,8,9087.064120565385,6,6,2019,1,7,25,2,0,3,33,6,12,4,5867.145535714284
6,2,1,8,9087.064120565385,15,6,2019,1,12,35,3,50,3,7,6,12,4,11639.576470238097
3,0,2,8,9087.064120565385,12,6,2019,0,0,15,21,15,0,13,24,12,4,3932.9177142857143
4,2,1,5,9087.064120565385,21,3,2019,1,18,50,11,30,3,7,6,12,4,6502.438359487733
3,4,3,8,9087.064120565385,18,6,2019,0,13,30,12,0,1,19,24,12,4,2859.9478432539677
4,2,1,5,9087.064120565385,18,5,2019,1,19,0,21,50,3,7,6,12,4,12333.47956349206
1,3,0,8,9087.064120565385,1,4,2019,3,21,50,5,50,2,25,1,4,0,8752.14799404762
0,2,1,8,9087.064120565385,15,5,2019,1,15,45,7,55,3,6,6,12,4,6563.186898268397
3,4,3,8,9087.064120565385,18,5,2019,0,10,40,9,10,1,19,24,12,4,4411.073246558995
4,0,2,5,9087.064120565385,21,5,2019,0,11,20,8,20,0,13,24,12,4,4816.32271590909
8,0,2,7,9087.064120565385,21,6,2019,0,12,20,9,30,0,13,24,12,4,3606.5527777777775
1,3,0,8,9087.064120565385,1,5,2019,2,5,25,10,0,2,14,0,3,4,14013.882941378066
10,2,1,8,9087.064120565385,3,3,2019,0,17,50,14,55,3,10,24,12,4,6893.792898809525
4,3,0,8,9087.064120565385,18,5,2019,1,10,5,20,0,2,7,3,12,4,14500.659354437228
3,0,2,8,9087.064120565385,24,6,2019,0,1,0,22,10,0,13,24,12,4,3543.6764841269846
10,3,0,8,9087.064120565385,9,6,2019,1,9,5,17,0,2,14,3,12,4,9132.446490079368
2,2,1,8,9087.064120565385,18,5,2019,1,12,55,7,0,3,7,6,12,4,7138.149944624817
0,3,0,8,9087.064120565385,21,4,2019,0,22,25,19,55,2,5,24,12,4,4496.377262515262
6,2,1,8,9087.064120565385,9,5,2019,1,1,30,15,15,3,7,6,12,4,8503.488013888886
6,2,1,8,9087.064120565385,15,5,2019,1,1,30,11,40,3,7,6,12,4,8107.385768768111
8,1,4,8,9087.064120565385,21,3,2019,0,10,35,8,20,4,8,24,12,4,3841.0701691919194
4,2,1,5,9087.064120565385,15,6,2019,1,19,0,7,5,3,7,6,12,4,11159.264615079366
8,3,0,7,9087.064120565385,18,4,2019,0,19,40,17,10,2,5,24,12,4,4082.9255238095234
4,3,0,8,9087.064120565385,9,5,2019,1,8,15,18,55,2,7,3,12,4,13772.458080586079
4,3,0,5,9087.064120565385,18,5,2019,1,8,15,14,5,2,7,3,12,4,8785.884070887445
4,3,0,5,9087.064120565385,18,5,2019,1,18,15,14,5,2,7,3,12,4,10834.698660714286
3,2,1,8,9087.064120565385,24,6,2019,1,21,0,16,0,3,7,6,12,4,6202.427207341272
1,2,1,8,9087.064120565385,1,6,2019,1,19,15,20,0,3,7,6,12,4,8790.617973887223
1,4,3,8,9087.064120565385,27,6,2019,0,20,45,19,30,1,19,24,12,4,3214.5459285714287
1,4,3,8,9087.064120565385,15,5,2019,0,7,40,6,20,1,19,24,12,4,3108.4204583333335
4,2,1,5,9087.064120565385,15,6,2019,1,4,25,15,0,3,7,6,12,4,10262.760523715415
6,2,1,8,9087.064120565385,24,6,2019,1,19,15,13,0,3,7,6,12,4,15021.2762987013
8,4,3,8,9087.064120565385,24,3,2019,0,7,5,5,45,1,19,24,12,4,2817.0068492063497
1,3,0,8,9087.064120565385,9,5,2019,2,18,30,8,20,2,28,4,3,4,11164.208227321289
3,2,1,8,9087.064120565385,6,3,2019,1,10,10,5,35,3,32,6,12,4,10061.128425491177
6,2,1,8,9087.064120565385,21,5,2019,1,21,0,10,0,3,7,6,12,4,9896.875470921272
6,2,1,8,9087.064120565385,9,3,2019,1,1,35,17,45,3,7,6,12,4,15155.122964285714
6,2,1,8,9087.064120565385,9,5,2019,1,19,0,6,40,3,7,6,12,4,9568.730354076479
8,3,0,8,9087.064120565385,15,3,2019,0,19,45,17,15,2,5,24,12,4,4555.887301587301
4,3,0,8,9087.064120565385,12,6,2019,1,10,5,18,55,2,7,3,12,4,13090.864738095237
3,4,3,8,9087.064120565385,9,5,2019,0,22,50,21,20,1,19,24,12,4,2432.578345238095
4,0,5,8,9087.064120565385,6,3,2019,1,0,45,5,45,0,7,8,12,4,23522.86159000722
3,2,1,8,9087.064120565385,9,3,2019,2,21,20,7,35,3,20,22,5,4,7452.868263888892
6,2,1,8,9087.064120565385,18,5,2019,1,19,0,6,40,3,7,6,12,4,9834.214899531027
6,2,1,8,9087.064120565385,6,3,2019,1,18,50,9,0,3,7,6,12,4,15349.392486111103
6,2,1,5,9087.064120565385,6,3,2019,1,1,35,11,30,3,7,6,12,4,14813.746767857147
8,3,0,8,9087.064120565385,9,6,2019,0,9,30,6,55,2,5,24,12,4,3887.9983452380948
3,3,0,8,9087.064120565385,6,6,2019,1,22,15,17,35,2,33,3,12,4,5700.909740981243
8,3,0,8,9087.064120565385,9,5,2019,1,18,30,11,15,2,23,3,12,4,9950.225996031746
1,2,1,8,9087.064120565385,15,5,2019,2,19,15,20,15,3,9,4,5,4,13890.68726270951
4,0,5,8,9087.064120565385,18,3,2019,1,18,25,8,0,0,7,8,12,4,12434.940964285714
3,2,1,8,9087.064120565385,15,4,2019,1,1,30,20,25,3,7,6,12,4,5820.764490079367
4,2,1,8,9087.064120565385,6,3,2019,2,4,25,5,40,3,4,4,5,4,17311.012704906203
6,2,1,8,9087.064120565385,9,4,2019,1,19,0,10,20,3,7,6,12,4,9790.884498015872
1,3,0,8,9087.064120565385,18,5,2019,2,20,25,16,45,2,15,9,3,4,14313.83218434344
4,0,5,5,9087.064120565385,12,3,2019,1,10,25,22,55,0,7,8,12,4,10845.63625
3,3,0,8,9087.064120565385,15,5,2019,0,14,5,11,30,2,5,24,12,4,4967.368624904653
4,0,2,8,9087.064120565385,9,5,2019,0,8,45,6,0,0,13,24,12,4,7229.0
8,3,0,8,9087.064120565385,9,6,2019,1,20,20,15,5,2,33,3,12,4,4949.575565476189
4,2,1,5,9087.064120565385,9,5,2019,1,12,35,20,55,3,7,6,12,4,12373.0
3,3,0,8,9087.064120565385,9,5,2019,0,16,55,14,25,2,5,24,12,4,5301.606319349098
10,0,2,8,9087.064120565385,1,4,2019,0,19,35,17,0,0,13,24,12,4,5568.01925
3,2,1,8,9087.064120565385,18,5,2019,1,16,10,6,50,3,20,6,12,4,6539.375517815517
3,0,2,8,9087.064120565385,3,5,2019,0,15,50,13,0,0,13,24,12,4,4328.863404761903
4,2,1,5,9087.064120565385,6,3,2019,1,4,25,19,45,3,7,6,12,4,13732.896773809525
3,2,1,8,9087.064120565385,27,6,2019,1,12,10,6,50,3,20,6,12,4,5259.619271825397
3,2,1,8,9087.064120565385,6,5,2019,1,3,35,21,50,3,32,6,12,4,6695.491940476189
3,3,0,8,9087.064120565385,24,5,2019,0,17,45,15,15,2,5,24,12,4,4830.313166666667
1,0,2,8,9087.064120565385,1,4,2019,0,12,45,10,0,0,13,24,12,4,5942.559140873017
4,3,0,5,9087.064120565385,12,5,2019,1,16,20,8,25,2,7,3,12,4,10561.316400793648
1,3,0,8,9087.064120565385,1,4,2019,2,5,25,10,0,2,14,0,3,4,12127.838798881672
8,0,2,8,9087.064120565385,18,6,2019,0,12,20,9,30,0,13,24,12,4,3834.0399880952377
10,0,2,8,9087.064120565385,21,4,2019,0,22,15,19,30,0,13,24,12,4,5595.721875
1,0,5,8,9087.064120565385,15,3,2019,1,10,50,22,0,0,11,8,12,4,7676.867501984127
3,0,5,8,9087.064120565385,1,3,2019,0,8,45,6,0,0,13,24,12,4,14607.444757215007
4,3,0,8,9087.064120565385,24,3,2019,1,22,35,21,10,2,7,3,12,4,13758.090883597884
4,2,1,8,9087.064120565385,15,5,2019,1,12,35,2,15,3,7,6,12,4,16171.504480061603
4,3,0,5,9087.064120565385,12,5,2019,1,22,35,14,5,2,7,3,12,4,10712.67143452381
3,0,5,8,9087.064120565385,9,3,2019,0,11,30,8,30,0,13,24,12,4,6795.88484126984
1,2,1,8,9087.064120565385,27,5,2019,1,9,25,20,40,3,33,6,12,4,7470.936450577199
3,0,2,8,9087.064120565385,18,5,2019,0,0,15,21,15,0,13,24,12,4,4226.771311507937
1,3,0,8,9087.064120565385,12,5,2019,0,16,45,14,15,2,5,24,12,4,5716.882665945166
4,3,0,5,9087.064120565385,9,6,2019,1,4,40,16,30,2,7,3,12,4,8614.514174603173
1,2,1,8,9087.064120565385,15,5,2019,1,8,15,9,45,3,6,6,12,4,8776.363589285713
4,3,0,8,9087.064120565385,15,5,2019,1,16,20,8,25,2,7,3,12,4,14609.714470882614
6,2,1,8,9087.064120565385,3,3,2019,1,22,20,14,35,3,20,6,12,4,10802.591941197692
6,2,1,8,9087.064120565385,27,5,2019,1,21,0,14,0,3,7,6,12,4,13294.847830266955
4,0,2,8,9087.064120565385,24,5,2019,0,14,5,11,10,0,13,24,12,4,7227.334375
8,3,0,7,9087.064120565385,1,6,2019,0,19,40,17,10,2,5,24,12,4,3851.2493452380945
8,0,2,8,9087.064120565385,21,6,2019,0,0,5,21,10,0,13,24,12,4,3899.70121969697
3,3,0,8,9087.064120565385,15,3,2019,0,19,55,17,15,2,5,24,12,4,4642.9575586883875
3,0,2,8,9087.064120565385,15,6,2019,0,22,50,20,0,0,13,24,12,4,4824.56875
4,3,0,5,9087.064120565385,12,5,2019,1,12,0,14,5,2,7,3,12,4,9698.64468760263
4,4,3,5,9087.064120565385,12,5,2019,0,21,5,19,35,1,19,24,12,4,2873.892166666665
4,0,2,8,9087.064120565385,18,5,2019,0,22,50,19,50,0,13,24,12,4,7221.0955
6,2,1,8,9087.064120565385,27,3,2019,1,15,30,9,0,3,7,6,12,4,8196.690229076477
3,0,2,8,9087.064120565385,21,5,2019,0,19,55,16,55,0,13,24,12,4,4839.290191876751
2,3,0,8,9087.064120565385,18,6,2019,0,17,55,15,20,2,5,24,12,4,3704.0534047619058
8,0,2,7,9087.064120565385,6,5,2019,0,12,20,9,30,0,13,24,12,4,4329.253373015871
1,0,2,8,9087.064120565385,27,5,2019,0,8,55,6,10,0,13,24,12,4,6734.193072871574
1,2,1,8,9087.064120565385,27,5,2019,2,9,25,7,5,3,20,22,5,4,10459.030323412697
8,3,0,7,9087.064120565385,18,3,2019,0,0,40,22,20,2,5,24,12,4,3849.2346349206346
8,3,0,8,9087.064120565385,1,5,2019,1,17,15,8,35,2,38,3,12,4,6366.800015151513
3,1,4,8,9087.064120565385,9,3,2019,0,17,5,14,40,4,8,24,12,4,6396.184097222224
1,2,1,8,9087.064120565385,1,6,2019,2,19,15,20,15,3,9,4,5,4,13632.731652597404
4,2,1,8,9087.064120565385,24,6,2019,2,19,0,9,40,3,28,4,5,4,13368.562857142859
3,0,5,8,9087.064120565385,3,3,2019,0,0,15,21,20,0,13,24,12,4,6934.301113095235
3,0,2,8,9087.064120565385,6,4,2019,0,4,15,1,30,0,13,24,12,4,3719.9709852092346
1,0,5,8,9087.064120565385,18,3,2019,2,10,35,8,50,0,7,23,6,4,12183.131426406922
8,3,0,8,9087.064120565385,3,5,2019,0,19,40,17,10,2,5,24,12,4,3996.471790945166
8,3,0,8,9087.064120565385,6,5,2019,1,20,20,15,5,2,33,3,12,4,4780.107160714284
1,3,0,8,9087.064120565385,24,3,2019,2,18,30,9,10,2,2,4,3,4,13184.60007070707
6,2,1,8,9087.064120565385,27,3,2019,1,1,35,9,55,3,7,6,12,4,9273.236109126985
4,3,0,5,9087.064120565385,18,5,2019,1,10,5,20,0,2,7,3,12,4,9050.756133207067
1,3,0,8,9087.064120565385,6,5,2019,1,21,50,9,25,2,7,3,12,4,8560.950398809524
3,4,3,8,9087.064120565385,3,5,2019,0,20,35,19,5,1,19,24,12,4,3157.31621031746
8,3,0,8,9087.064120565385,24,6,2019,0,0,40,22,20,2,5,24,12,4,3877.216202380953
4,0,5,8,9087.064120565385,6,3,2019,1,20,20,8,55,0,7,8,12,4,17062.057845238094
6,2,1,8,9087.064120565385,6,5,2019,1,19,15,9,0,3,7,6,12,4,14255.013632575754
10,0,5,8,9087.064120565385,3,3,2019,1,21,55,6,40,0,0,8,12,4,12162.488111111112
4,3,0,8,9087.064120565385,9,6,2019,1,10,55,20,25,2,14,3,12,4,13363.911950167829
6,2,1,8,9087.064120565385,3,6,2019,1,1,30,17,30,3,7,6,12,4,13517.764007936508
0,2,1,8,9087.064120565385,21,4,2019,1,15,45,7,55,3,6,6,12,4,6787.062266594515
8,3,0,7,9087.064120565385,27,6,2019,0,0,40,22,20,2,5,24,12,4,3826.2463769841274
6,2,1,8,9087.064120565385,15,5,2019,1,21,0,8,0,3,7,6,12,4,12109.642336764673
10,4,3,8,9087.064120565385,6,3,2019,1,9,25,20,55,1,14,13,12,4,12358.590511904762
8,4,3,8,9087.064120565385,27,5,2019,0,14,45,13,15,1,19,24,12,4,2209.499535714286
6,2,1,8,9087.064120565385,12,6,2019,1,21,0,10,20,3,7,6,12,4,7675.486858585858
1,2,1,8,9087.064120565385,6,6,2019,2,19,15,22,0,3,16,4,5,4,10552.749858187135
3,1,4,8,9087.064120565385,21,5,2019,0,14,0,11,35,4,8,24,12,4,4285.9043452380965
1,3,0,8,9087.064120565385,6,6,2019,2,11,10,8,20,2,28,4,3,4,11398.784164451767
1,2,1,8,9087.064120565385,21,5,2019,1,23,0,6,10,3,6,6,12,4,8367.009170634921
4,0,2,8,9087.064120565385,27,4,2019,0,8,45,6,0,0,13,24,12,4,7213.457333333333
1,3,0,8,9087.064120565385,1,4,2019,1,18,30,9,25,2,7,3,12,4,6502.496082431455
4,2,1,5,9087.064120565385,21,5,2019,1,4,25,18,15,3,7,6,12,4,12898.0
4,2,1,8,9087.064120565385,1,6,2019,1,19,0,2,15,3,7,6,12,4,14900.843916208789
1,3,0,8,9087.064120565385,24,3,2019,1,7,55,9,25,2,7,3,12,4,10379.901114357866
8,1,4,8,9087.064120565385,21,5,2019,0,12,0,9,45,4,8,24,12,4,3606.2999444444445
3,2,1,8,9087.064120565385,21,3,2019,1,16,10,4,55,3,20,6,12,4,6481.136166666667
8,0,2,7,9087.064120565385,9,6,2019,0,8,35,5,55,0,13,24,12,4,3826.824143578642
4,2,1,5,9087.064120565385,21,3,2019,1,4,25,9,0,3,7,6,12,4,7512.04743228993
4,2,1,8,9087.064120565385,12,6,2019,2,4,25,5,30,3,28,4,5,4,13018.632136243952
6,2,1,8,9087.064120565385,3,3,2019,2,21,20,9,45,3,20,22,5,4,10105.257444444444
10,3,0,8,9087.064120565385,24,5,2019,1,10,45,17,0,2,14,3,12,4,9623.927140873011
1,2,1,8,9087.064120565385,15,6,2019,0,17,10,14,10,3,10,24,12,4,5818.725484126984
1,3,0,8,9087.064120565385,15,5,2019,2,11,10,12,0,2,2,4,3,4,10722.209599206348
4,3,0,8,9087.064120565385,6,6,2019,1,10,55,9,35,2,14,3,12,4,12961.179534270232
3,2,1,8,9087.064120565385,27,4,2019,1,12,10,6,50,3,20,6,12,4,5801.423908730158
6,2,1,8,9087.064120565385,6,3,2019,2,1,35,17,50,3,26,4,5,4,29075.44304581529
4,3,0,5,9087.064120565385,1,5,2019,1,8,15,8,25,2,7,3,12,4,8960.377950396824
4,3,0,5,9087.064120565385,9,5,2019,1,22,35,16,30,2,7,3,12,4,10459.59291017316
1,2,1,8,9087.064120565385,6,6,2019,2,7,40,17,15,3,20,4,5,4,12609.975232257591
4,2,1,8,9087.064120565385,3,6,2019,2,12,35,19,30,3,28,4,5,4,13138.232845148348
4,4,3,8,9087.064120565385,6,3,2019,1,16,50,16,0,1,14,13,12,4,20029.553589285704
0,0,2,8,9087.064120565385,6,4,2019,0,7,45,4,55,0,13,24,12,4,4001.1528455988473
3,2,1,8,9087.064120565385,27,6,2019,1,1,30,15,0,3,7,6,12,4,6008.162661165225
6,2,1,8,9087.064120565385,6,6,2019,1,1,30,18,15,3,7,6,12,4,13074.491359126981
3,1,4,8,9087.064120565385,18,5,2019,0,15,35,13,15,4,8,24,12,4,3615.981484126984
8,3,0,8,9087.064120565385,24,3,2019,0,11,30,9,0,2,5,24,12,4,4344.181315476191
1,2,1,8,9087.064120565385,15,6,2019,2,7,40,12,0,3,28,4,5,4,8891.370517857144
3,3,0,8,9087.064120565385,12,3,2019,0,17,55,15,20,2,5,24,12,4,4856.53375937329
3,4,3,8,9087.064120565385,1,4,2019,0,13,30,12,0,1,19,24,12,4,2944.506918650794
8,2,1,8,9087.064120565385,27,4,2019,1,22,5,15,45,3,33,6,12,4,6381.996305555554
4,3,0,8,9087.064120565385,24,5,2019,1,9,45,17,0,2,14,3,12,4,13090.286589466092
1,3,0,8,9087.064120565385,1,4,2019,2,1,20,7,0,2,14,7,3,4,11859.880482142858
4,3,0,5,9087.064120565385,15,5,2019,1,19,50,16,30,2,7,3,12,4,10597.504336038963
4,4,3,8,9087.064120565385,21,6,2019,0,4,20,2,55,1,19,24,12,4,6090.6697063492065
4,0,5,8,9087.064120565385,1,3,2019,1,8,15,22,50,0,7,8,12,4,27792.41958333333
3,0,2,8,9087.064120565385,18,5,2019,0,3,25,0,30,0,13,24,12,4,4092.02303968254
3,0,5,8,9087.064120565385,9,3,2019,1,20,25,15,15,0,16,8,12,4,7212.619688492064
6,2,1,8,9087.064120565385,9,5,2019,2,1,30,17,50,3,26,4,5,4,18625.96822222222
3,3,0,8,9087.064120565385,12,3,2019,0,0,55,22,10,2,5,24,12,4,4427.215569805196
6,2,1,8,9087.064120565385,15,6,2019,1,12,35,6,0,3,7,6,12,4,11331.1901649531
1,3,0,8,9087.064120565385,24,5,2019,1,11,5,19,0,2,20,3,12,4,6359.179881313131
4,3,0,8,9087.064120565385,9,5,2019,1,14,25,9,35,2,14,3,12,4,12346.866497211438
6,2,1,8,9087.064120565385,3,6,2019,1,21,0,8,0,3,7,6,12,4,11826.670397337211
1,0,5,8,9087.064120565385,6,3,2019,2,23,25,8,50,0,7,2,6,4,13428.698482142852
3,0,2,8,9087.064120565385,6,6,2019,0,19,55,16,55,0,13,24,12,4,4865.237099816851
6,2,1,8,9087.064120565385,9,6,2019,2,1,30,15,5,3,21,4,5,4,16477.272402777773
4,2,1,8,9087.064120565385,21,5,2019,2,19,0,23,5,3,0,4,5,4,15129.0
1,3,0,8,9087.064120565385,9,5,2019,2,21,50,8,20,2,28,4,3,4,11075.507205294296
10,0,2,8,9087.064120565385,15,4,2019,0,9,40,7,0,0,13,24,12,4,5418.914071428571
6,2,1,8,9087.064120565385,6,6,2019,1,21,0,10,0,3,7,6,12,4,10533.733145592823
3,2,1,8,9087.064120565385,24,5,2019,1,1,30,11,25,3,7,6,12,4,6642.814708999332
4,2,1,8,9087.064120565385,3,3,2019,2,4,25,5,25,3,21,4,5,4,18459.0897979798
1,2,1,8,9087.064120565385,27,5,2019,3,19,15,5,15,3,39,23,4,1,10597.579575396825
1,2,1,8,9087.064120565385,6,3,2019,1,19,15,13,0,3,7,6,12,4,16740.710155483408
3,2,1,8,9087.064120565385,6,3,2019,1,15,30,10,45,3,7,6,12,4,12107.641785714284
6,2,1,8,9087.064120565385,18,5,2019,1,19,15,12,50,3,7,6,12,4,8341.65086161987
4,2,1,5,9087.064120565385,6,6,2019,2,4,25,6,45,3,34,4,5,4,10976.797666666665
6,2,1,8,9087.064120565385,27,5,2019,1,16,10,7,5,3,20,6,12,4,9822.851454365076
1,2,1,8,9087.064120565385,15,6,2019,0,21,10,18,5,3,10,24,12,4,6002.955139430015
4,2,1,8,9087.064120565385,27,6,2019,2,12,35,13,25,3,0,4,5,4,14001.347011904763
3,3,0,8,9087.064120565385,12,5,2019,1,14,15,9,20,2,37,3,12,4,10670.99290133478
1,3,0,8,9087.064120565385,18,5,2019,2,8,55,16,45,2,15,9,3,4,14595.915589257966
3,4,3,8,9087.064120565385,27,3,2019,0,4,0,2,30,1,19,24,12,4,3728.632123015873
3,0,2,8,9087.064120565385,24,5,2019,0,19,55,16,55,0,13,24,12,4,4836.055346638656
4,3,0,8,9087.064120565385,24,3,2019,1,20,40,13,55,2,7,3,12,4,14219.121333333333
4,0,2,5,9087.064120565385,21,6,2019,0,8,45,6,0,0,13,24,12,4,6481.346365079366
3,0,5,8,9087.064120565385,3,3,2019,0,2,20,23,30,0,13,24,12,4,6449.238097222223
4,2,1,8,9087.064120565385,27,5,2019,2,12,35,23,5,3,0,4,5,4,15239.935458333332
3,0,2,8,9087.064120565385,24,6,2019,0,0,15,21,15,0,13,24,12,4,3932.410595238096
4,3,0,8,9087.064120565385,6,5,2019,1,23,35,16,30,2,7,3,12,4,14759.738286075033
6,2,1,8,9087.064120565385,9,3,2019,1,19,15,7,30,3,7,6,12,4,14525.490143009763
